distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas
28,5,26,215,12,NA,E10,0,0,0,45,E10
12,42,30,215,13,NA,E10,0,0,0,NA,NA
112,55,38,215,15,NA,E10,0,0,0,NA,NA
129,39,36,215,14,NA,E10,0,0,0,NA,NA
185,45,46,215,15,NA,E10,0,0,0,NA,NA
83,64,50,215,10,NA,E10,0,0,0,NA,NA
78,44,43,215,11,NA,E10,0,0,0,NA,NA
123,5,40,215,6,NA,E10,0,0,0,NA,NA
49,64,26,215,4,NA,E10,0,0,0,NA,NA
119,53,30,215,9,NA,E10,0,0,0,NA,NA
124,56,42,215,4,NA,E10,0,0,0,NA,NA
118,46,38,215,0,NA,E10,0,0,0,NA,NA
123,59,59,215,10,NA,E10,0,0,0,NA,NA
247,51,58,215,12,NA,E10,0,0,0,NA,NA
124,47,46,215,11,NA,E10,0,0,0,NA,NA
173,51,24,215,5,NA,E10,0,0,0,NA,NA
334,56,36,215,3,NA,E10,0,0,0,NA,NA
118,51,32,215,3,NA,E10,0,0,0,NA,NA
259,49,39,215,8,NA,E10,0,0,0,NA,NA
118,47,40,215,4,NA,E10,0,0,0,NA,NA
253,55,32,215,3,NA,E10,0,0,0,NA,NA
142,59,38,215,1,NA,E10,0,0,0,NA,NA
179,57,37,215,1,NA,E10,0,0,0,NA,NA
118,47,36,215,1,NA,E10,0,0,0,NA,NA
123,59,62,215,6,NA,E10,0,0,0,NA,NA
124,41,57,215,9,NA,E10,0,0,0,NA,NA
184,57,21,225,2,NA,E10,0,0,0,NA,NA
184,58,28,215,3,NA,E10,0,0,0,NA,NA
183,55,29,215,1,NA,E10,0,0,0,NA,NA
184,57,35,215,4,NA,E10,0,0,0,NA,NA
123,53,51,215,11,NA,E10,0,0,0,NA,NA
118,5,29,215,10,NA,E10,0,0,0,NA,NA
123,56,58,215,8,NA,E10,0,0,0,NA,NA
326,48,40,215,7,NA,E10,0,0,0,NA,NA
19,43,36,215,7,NA,E10,0,0,0,NA,NA
121,57,36,215,8,NA,E10,0,0,0,NA,NA
20,52,37,215,4,NA,E10,0,0,0,NA,NA
