# Variable description
# salary – avarage salary per month (rubles);
# male – gender: 1 – male, 0 – female;
# educ – education:
# 1 – 0-6 classes,
# 2 – 7-8 classes,
# 3 – 7-8 classes and something else,
# 4 – school comlete,
# 5 – school complete and something else,
# 6 – high school;
# forlang - foreign languages: 1 – yes, 0 – no;
# exper – years of working experience from 1.01.2002.

individual	salary	male	educ	forlang	exper
1	18000	0	6	0	10
2	60000	0	6	1	10
3	30000	0	6	1	10
4	45000	0	4	1	10
5	40000	1	4	0	10
6	35000	0	4	0	10
7	40000	1	4	0	10
8	15000	0	6	1	1
9	40000	1	4	0	10
10	70000	0	6	1	10
11	70000	1	6	1	10
12	20000	0	6	0	11
13	20000	1	6	0	11
14	12000	0	4	1	1
15	60000	1	4	0	11
16	35000	0	6	0	11
17	90000	1	6	0	11
18	60000	0	6	1	11
19	38000	1	6	1	9
20	40000	1	6	0	10
21	62000	1	6	1	4
22	18000	0	6	0	3
23	40000	1	6	0	11
24	55000	1	6	1	5
25	120000	1	6	1	10
26	30000	1	6	0	9
27	38000	1	5	0	11
28	47000	1	4	0	10
29	35000	0	4	0	8
30	28000	0	6	0	10
31	43000	1	6	0	10
32	40000	1	3	0	10
33	45000	0	6	1	10
34	40000	0	4	0	10
35	18000	1	4	0	10
36	40000	0	6	1	10
37	13300	0	6	0	10
38	15000	1	6	0	10
39	30000	0	4	0	10
40	60000	1	3	0	10
41	30000	1	6	1	11
42	56000	1	6	0	10
43	7000	0	6	1	4
44	25000	0	5	1	5
45	8000	0	4	0	10
46	10000	0	5	0	10
47	20000	1	6	1	1
48	10000	0	4	1	2
49	25000	1	4	0	10
50	20000	0	5	0	10
51	27000	1	5	0	3
52	50000	1	6	1	10
53	20000	0	6	1	10
54	27000	1	5	0	10
55	70000	1	5	1	5
56	50000	0	3	1	10
57	20000	0	5	0	10
58	40000	0	4	1	10
59	28000	1	4	0	10
60	25000	1	4	1	10
61	25000	1	4	0	10
62	35000	1	3	0	10
63	22000	0	6	1	9
64	45000	0	4	1	5
65	45000	0	5	0	10
66	55000	0	5	1	10
67	30000	1	4	0	10
68	12000	1	2	0	10
69	30000	0	5	1	1
70	45000	1	6	1	10
71	17000	0	6	1	10
72	55000	1	4	0	11
73	25000	0	4	0	11
74	30000	0	6	0	11
75	60000	1	6	0	11
76	56000	0	6	1	11
77	26000	0	5	0	10
78	40000	1	5	1	2
79	20000	1	6	1	10
80	40000	1	6	0	10
81	30000	1	6	0	5
82	40000	1	5	1	10
83	40000	0	4	0	4
84	35000	0	6	0	10
85	30000	1	4	0	5
86	17000	0	4	0	10
87	30000	1	2	0	10
88	25000	0	5	0	10
89	17000	0	4	1	1
90	13000	1	4	0	5
91	35000	0	4	0	10
92	16000	0	4	0	10
93	20000	0	6	1	6
94	70000	0	6	0	10
95	23000	0	5	0	6
96	40000	1	4	0	10
97	28000	1	6	1	7
98	15000	0	6	0	10
99	17000	0	5	1	10
100	20000	1	5	1	10
101	18000	0	5	0	11
102	40000	0	6	1	10
103	25000	0	4	1	10
104	150000	1	6	0	10
105	180000	1	6	1	10
106	30000	1	5	1	10
107	16000	0	6	0	10
108	280000	1	6	1	10
109	20000	0	6	1	10
110	15000	1	6	1	6
111	100000	1	6	1	10
112	60000	0	6	1	8
113	60000	0	6	1	10
114	150000	1	6	1	10
115	100000	1	6	0	10
116	60000	1	6	1	10
117	27000	1	6	0	10
118	22000	0	6	0	4
119	17500	1	6	0	10
120	9600	0	4	0	10
121	22000	1	4	0	10
122	19000	0	5	0	5
123	30000	0	6	0	4
124	25000	1	3	0	3
125	10000	0	4	0	10
126	21000	1	5	0	10
127	30000	1	6	0	10
128	28000	0	6	0	10
129	35000	1	5	0	1
130	47000	0	6	1	10
131	25000	1	2	0	10
132	50000	1	4	0	1
133	40000	1	5	1	10
134	28000	0	4	0	10
135	40000	0	5	0	8
136	40000	0	6	1	10
137	35000	0	5	1	8
138	25000	1	5	0	11
139	35000	0	5	0	11
140	30000	1	5	0	11
141	8000	0	5	1	11
142	12000	0	4	1	1
143	30000	1	6	1	11
144	55000	0	5	1	11
145	10500	0	5	0	4
146	60000	1	5	0	10
147	37000	0	6	1	11
148	30000	1	4	0	11
149	35000	0	6	0	10
150	20000	0	3	0	10
